name,postcode,Latitude,Longitude,date,unit,meter_reading,output,installed_capacity_kw
Building17,BS10 7EJ,51.506948,-2.622698,18/01/14,KWh,9525,8,9.6
Building26,BS9 3HZ,51.495713,-2.615068,18/01/14,KWh,10914,14,9.88
Building23,BS5 6TY,51.478995,-2.563724,18/01/14,KWh,10547,13,9.16
Building16,BS14 8PS,51.413462,-2.544973,18/01/14,KWh,12796,0,19.44
Building25,BS13 8RB,51.40836,-2.628359,18/01/14,KWh,24568,18,21.6
Building24,BS2 9UX,51.471334,-2.572916,18/01/14,KWh,18552,26,17.76
Building15,BS1 6RB,51.447321,-2.590272,18/01/14,KWh,10275,12,9.6
Building28,BS1 6RT,51.445976,-2.587736,18/01/14,KWh,9120,15,16.32
Building31,BS3 5NR,51.432436,-2.605198,18/01/14,KWh,23157,25,21.84
Building32,BS11 0UT,51.494761,-2.659508,18/01/14,KWh,7779,8,7.99
Building3,BS4 4BJ,51.449884,-2.543708,17/01/14,KWh,11906,11,9.87
Building4,BS10 5SW,51.505877,-2.591633,17/01/14,KWh,28348,15,24
Building0008A,BS10 6DS,51.504689,-2.605997,17/01/14,KWh,18554,9,15.36
Building11,BS3 2QG,51.43333,-2.626644,17/01/14,KWh,4561,1,25.23
Building0008B,BS10 6DS,51.504689,-2.605997,17/01/14,KWh,17146,8,14.61
Building9,BS13 7QB,51.417591,-2.610294,17/01/14,KWh,15480,8,13.2
Building10,BS4 2XG,51.431619,-2.574505,17/01/14,KWh,28010,28,26.95
Building14,BS7 9JT,51.480451,-2.582218,17/01/14,KWh,24023,14,24
Building13,BS2 9US,51.470441,-2.573524,17/01/14,KWh,25437,20,24
Building22,BS7 8LS,51.479561,-2.592992,17/01/14,KWh,8693,6,9.6
Building18,BS7 9PE,51.4839,-2.584825,17/01/14,KWh,9517,5,9.84
Building21,BS2 0SZ,51.447339,-2.568601,17/01/14,KWh,16689,14,19.2
Building27,BS11 9RR,51.489239,-2.681653,17/01/14,KWh,17084,9,16.66
Building50,BS3 3AU,51.438831,-2.606535,17/01/14,KWh,10870,7,9.88
Building19,BS10 6RG,51.512553,-2.611721,17/01/14,KWh,9998,4,9.6
Building17,BS10 7EJ,51.506948,-2.622698,17/01/14,KWh,9517,5,9.6
Building26,BS9 3HZ,51.495713,-2.615068,17/01/14,KWh,10900,6,9.88
Building23,BS5 6TY,51.478995,-2.563724,17/01/14,KWh,10534,7,9.16
Building16,BS14 8PS,51.413462,-2.544973,17/01/14,KWh,12796,0,19.44
Building25,BS13 8RB,51.40836,-2.628359,17/01/14,KWh,24550,13,21.6
Building24,BS2 9UX,51.471334,-2.572916,17/01/14,KWh,18526,15,17.76
Building15,BS1 6RB,51.447321,-2.590272,17/01/14,KWh,10263,6,9.6
Building28,BS1 6RT,51.445976,-2.587736,17/01/14,KWh,9105,9,16.32
Building31,BS3 5NR,51.432436,-2.605198,17/01/14,KWh,23132,14,21.84
Building32,BS11 0UT,51.494761,-2.659508,17/01/14,KWh,7771,3,7.99
Building3,BS4 4BJ,51.449884,-2.543708,16/01/14,KWh,11895,5,9.87
Building4,BS10 5SW,51.505877,-2.591633,16/01/14,KWh,28333,14,24
Building0008A,BS10 6DS,51.504689,-2.605997,16/01/14,KWh,18545,10,15.36
Building11,BS3 2QG,51.43333,-2.626644,16/01/14,KWh,4560,0,25.23
Building0008B,BS10 6DS,51.504689,-2.605997,16/01/14,KWh,17138,9,14.61
Building9,BS13 7QB,51.417591,-2.610294,16/01/14,KWh,15472,6,13.2
Building10,BS4 2XG,51.431619,-2.574505,16/01/14,KWh,27982,15,26.95
Building14,BS7 9JT,51.480451,-2.582218,16/01/14,KWh,24009,9,24
Building13,BS2 9US,51.470441,-2.573524,16/01/14,KWh,25417,10,24
Building22,BS7 8LS,51.479561,-2.592992,16/01/14,KWh,8687,3,9.6
Building18,BS7 9PE,51.4839,-2.584825,16/01/14,KWh,9512,4,9.84
Building21,BS2 0SZ,51.447339,-2.568601,16/01/14,KWh,16675,10,19.2
Building27,BS11 9RR,51.489239,-2.681653,16/01/14,KWh,17075,8,16.66
Building50,BS3 3AU,51.438831,-2.606535,16/01/14,KWh,10863,5,9.88
Building19,BS10 6RG,51.512553,-2.611721,16/01/14,KWh,9994,5,9.6
Building17,BS10 7EJ,51.506948,-2.622698,16/01/14,KWh,9512,5,9.6
Building26,BS9 3HZ,51.495713,-2.615068,16/01/14,KWh,10894,5,9.88
Building23,BS5 6TY,51.478995,-2.563724,16/01/14,KWh,10527,4,9.16
Building16,BS14 8PS,51.413462,-2.544973,16/01/14,KWh,12796,0,19.44
Building25,BS13 8RB,51.40836,-2.628359,16/01/14,KWh,24537,9,21.6
Building24,BS2 9UX,51.471334,-2.572916,16/01/14,KWh,18511,7,17.76
Building15,BS1 6RB,51.447321,-2.590272,16/01/14,KWh,10257,5,9.6
Building28,BS1 6RT,51.445976,-2.587736,16/01/14,KWh,9096,7,16.32
Building31,BS3 5NR,51.432436,-2.605198,16/01/14,KWh,23118,11,21.84
Building32,BS11 0UT,51.494761,-2.659508,16/01/14,KWh,7768,4,7.99
Building3,BS4 4BJ,51.449884,-2.543708,15/01/14,KWh,11890,24,9.87
Building4,BS10 5SW,51.505877,-2.591633,15/01/14,KWh,28319,59,24
Building0008A,BS10 6DS,51.504689,-2.605997,15/01/14,KWh,18535,40,15.36
Building11,BS3 2QG,51.43333,-2.626644,15/01/14,KWh,4560,3,25.23
Building0008B,BS10 6DS,51.504689,-2.605997,15/01/14,KWh,17129,36,14.61
Building9,BS13 7QB,51.417591,-2.610294,15/01/14,KWh,15466,18,13.2
Building10,BS4 2XG,51.431619,-2.574505,15/01/14,KWh,27967,66,26.95
Building14,BS7 9JT,51.480451,-2.582218,15/01/14,KWh,24000,19,24
Building13,BS2 9US,51.470441,-2.573524,15/01/14,KWh,25407,41,24
Building22,BS7 8LS,51.479561,-2.592992,15/01/14,KWh,8684,13,9.6
Building18,BS7 9PE,51.4839,-2.584825,15/01/14,KWh,9508,8,9.84
Building21,BS2 0SZ,51.447339,-2.568601,15/01/14,KWh,16665,28,19.2
Building27,BS11 9RR,51.489239,-2.681653,15/01/14,KWh,17067,24,16.66
Building50,BS3 3AU,51.438831,-2.606535,15/01/14,KWh,10858,18,9.88
Building19,BS10 6RG,51.512553,-2.611721,15/01/14,KWh,9989,7,9.6
Building17,BS10 7EJ,51.506948,-2.622698,15/01/14,KWh,9507,7,9.6
Building26,BS9 3HZ,51.495713,-2.615068,15/01/14,KWh,10889,16,9.88
Building23,BS5 6TY,51.478995,-2.563724,15/01/14,KWh,10523,14,9.16
Building16,BS14 8PS,51.413462,-2.544973,15/01/14,KWh,12796,0,19.44
Building25,BS13 8RB,51.40836,-2.628359,15/01/14,KWh,24528,31,21.6
Building24,BS2 9UX,51.471334,-2.572916,15/01/14,KWh,18504,31,17.76
Building15,BS1 6RB,51.447321,-2.590272,15/01/14,KWh,10252,12,9.6
Building28,BS1 6RT,51.445976,-2.587736,15/01/14,KWh,9089,13,16.32
Building31,BS3 5NR,51.432436,-2.605198,15/01/14,KWh,23107,33,21.84
Building32,BS11 0UT,51.494761,-2.659508,15/01/14,KWh,7764,9,7.99
